country,listed_in,cnt,country_total,genre_total,country_share,global_share,gap,country_total_y
Germany,Children & Family Movies,17,226,641,0.0752212389380531,0.07279127867363161,0.0024299602644214935,226
Argentina,TV Horror,1,91,75,0.01098901098901099,0.008516920281626164,0.0024720907073848258,91
Australia,British TV Shows,5,160,253,0.03125,0.02873041108335226,0.00251958891664774,160
Spain,Horror Movies,10,232,357,0.04310344827586207,0.04054054054054054,0.002562907735321529,232
United States,Stand-Up Comedy & Talk Shows,33,3690,56,0.00894308943089431,0.006359300476947536,0.002583788953946773,3690
Indonesia,TV Horror,1,90,75,0.011111111111111112,0.008516920281626164,0.0025941908294849474,90
Italy,Faith & Spirituality,1,100,65,0.01,0.007381330910742675,0.002618669089257325,100
Ireland,TV Action & Adventure,1,46,168,0.021739130434782608,0.019077901430842606,0.002661229003940002,46
United States,TV Mysteries,51,3690,98,0.013821138211382113,0.011128775834658187,0.0026923623767239266,3690
Taiwan,Crime TV Shows,5,89,470,0.056179775280898875,0.05337270043152396,0.0028070748493749173,89
Germany,Science & Nature TV,3,226,92,0.01327433628318584,0.010447422212128094,0.0028269140710577463,226
United States,Science & Nature TV,49,3690,92,0.013279132791327914,0.010447422212128094,0.0028317105791998195,3690
Belgium,TV Action & Adventure,2,90,168,0.022222222222222223,0.019077901430842606,0.003144320791379617,90
Argentina,Teen TV Shows,1,91,69,0.01098901098901099,0.007835566659096072,0.0031534443299149183,91
Taiwan,Teen TV Shows,1,89,69,0.011235955056179775,0.007835566659096072,0.0034003883970837034,89
Philippines,TV Horror,1,83,75,0.012048192771084338,0.008516920281626164,0.003531272489458174,83
Thailand,Sports Movies,2,70,219,0.02857142857142857,0.0248694072223484,0.003702021349080171,70
Belgium,Horror Movies,4,90,357,0.044444444444444446,0.04054054054054054,0.0039039039039039033,90
United States,TV Comedies,258,3690,581,0.06991869918699187,0.06597774244833068,0.003940956738661183,3690
Brazil,Stand-Up Comedy & Talk Shows,1,97,56,0.010309278350515464,0.006359300476947536,0.0039499778735679275,97
United States,Faith & Spirituality,42,3690,65,0.011382113821138212,0.007381330910742675,0.004000782910395537,3690
China,Anime Features,2,162,71,0.012345679012345678,0.008062684533272768,0.00428299447907291,162
Canada,Sports Movies,13,445,219,0.029213483146067417,0.0248694072223484,0.004344075923719017,445
United States,Reality TV,123,3690,255,0.03333333333333333,0.02895752895752896,0.004375804375804374,3690
Taiwan,Horror Movies,4,89,357,0.0449438202247191,0.04054054054054054,0.004403279684178557,89
Singapore,Anime Series,1,41,176,0.024390243902439025,0.019986372927549397,0.004403870974889628,41
South Korea,TV Horror,3,231,75,0.012987012987012988,0.008516920281626164,0.004470092705386824,231
Argentina,Movies,1,91,57,0.01098901098901099,0.006472859414035885,0.004516151574975105,91
Australia,Teen TV Shows,2,160,69,0.0125,0.007835566659096072,0.004664433340903929,160
Thailand,TV Sci-Fi & Fantasy,1,70,84,0.014285714285714285,0.009538950715421303,0.004746763570292982,70
Taiwan,TV Thrillers,1,89,57,0.011235955056179775,0.006472859414035885,0.00476309564214389,89
Canada,Movies,5,445,57,0.011235955056179775,0.006472859414035885,0.00476309564214389,445
Canada,TV Thrillers,5,445,57,0.011235955056179775,0.006472859414035885,0.00476309564214389,445
Belgium,Children & Family Movies,7,90,641,0.07777777777777778,0.07279127867363161,0.004986499104146169,90
South Africa,TV Mysteries,1,62,98,0.016129032258064516,0.011128775834658187,0.005000256423406329,62
New Zealand,Independent Movies,3,33,756,0.09090909090909091,0.08585055643879173,0.005058534470299178,33
Australia,Faith & Spirituality,2,160,65,0.0125,0.007381330910742675,0.005118669089257326,160
